,Frequency,SAT,Participant,v,a,ter,k,participant
156,6,1,,1.9297978106374243,0.8118630249097247,0.32227352068610965,4.495110292317664,14.0
157,6,2,,2.662691917081384,0.5080786051302875,0.4811299075416597,-14.578891149037059,14.0
158,1,1,,2.188947153547583,1.0066489523559756,0.2923832500045106,6.327179881164988,15.0
159,1,2,,2.3476606754407325,1.1971087988733151,0.32610157714093324,1.2210061431650927,15.0
160,2,1,,1.5036252922124338,2.8488843276806435,0.16528360960815625,6.66730796036815,15.0
161,2,2,,2.0575147503407023,1.782682090857509,0.30756706278095736,2.4346445377663053,15.0
162,3,1,,0.6504105137011207,7.294562277355184,0.10702906099084808,9.017469407559188,15.0
163,3,2,,1.1828369161294952,1.328237751921833,0.3688297470555264,2.242593095929722,15.0
164,4,1,,1.7337323427682914,0.9049480922554345,0.31498877000446157,6.041695346963896,15.0
165,4,2,,2.098589797653044,1.220986631437273,0.4012294551658672,1.2184812575572426,15.0
166,5,1,,1.4239634877204768,1.5131918027798745,0.2520161487487677,6.806961146277561,15.0
167,5,2,,1.8441530511149504,1.3839488619014624,0.34144720651112903,1.3751704745963025,15.0
168,6,1,,1.9298370566930574,3.6456172419047563,0.18737676814768395,7.943451206914662,15.0
169,6,2,,2.544155598548074,0.5996204748993632,0.4736908675251818,-5.670944742854612,15.0
170,1,1,,1.3012629080801634,1.0631490162093913,0.2217125717986223,5.88204452661837,16.0
171,1,2,,2.5043911351688437,1.5717959147399592,0.2919406814813442,3.2690380794214624,16.0
172,2,1,,0.9424198663797406,1.411070157867004,0.15431862618279324,4.76504788539208,16.0
173,2,2,,1.7777999332275425,0.8524074771798729,0.40188486276261226,0.8311911040447573,16.0
174,3,1,,0.5485617130500982,1.8837864865350742,0.10230030008844238,4.909771976658098,16.0
175,3,2,,1.2038459556508625,1.1581790575377324,0.341279844387571,2.265333328610138,16.0
176,4,1,,0.8736426186225242,2.3966709842758633,0.10871581570880717,5.886358106060423,16.0
177,4,2,,1.9178993747970376,1.4107135447743935,0.3369970885961717,2.558033086820053,16.0
178,5,1,,0.7624878249462697,2.1746624154973806,0.10179110024606774,5.395413306411873,16.0
179,5,2,,1.8493506316825417,0.8874579713951611,0.37785360560590814,-0.04755598920404436,16.0
180,6,1,,0.8979190450198965,1.6344643237671237,0.12436391261280111,4.252468840247167,16.0
181,6,2,,1.9283001932030406,1.1331839127418943,0.3456737309798413,2.2605244346020057,16.0
182,1,1,,2.892114867440208,1.2286823153604898,0.2683074823715,4.892751338587519,17.0
183,1,2,,3.033576103582355,1.2759541214559125,0.32723251477188875,1.024711121668729,17.0
184,2,1,,2.345697326186027,1.5747400042588833,0.26157682996350484,6.047066272895668,17.0
185,2,2,,2.377972525052928,1.4009918916815782,0.33834733555922725,1.9619034155166595,17.0
186,3,1,,1.7090027042052305,1.2162111933390136,0.2761519947555569,6.088313743381252,17.0
187,3,2,,1.8695762060639736,1.4669388155798728,0.362039642580153,3.100399190578765,17.0
188,4,1,,2.036302252161063,0.9551143122730075,0.28844174391131766,3.4788748321253555,17.0
189,4,2,,2.59047334727732,2.287783176416241,0.27995262139620153,2.4877977434242227,17.0
190,5,1,,2.3509073308889024,0.9360348286111906,0.3113298382633847,3.5788795127822346,17.0
191,5,2,,2.2180904538696518,1.662080057284736,0.32984729616316005,2.495606779062214,17.0
192,6,1,,2.0072936972220434,1.9444958661508362,0.17666068968416943,4.160660826854776,17.0
193,6,2,,2.144904847018577,2.351156513652732,0.2063273526174298,2.2510974137466278,17.0
