,Unnamed: 0,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,participant
163,165,4,Accuracy,,4.158293415183595,1.9123307774508385,0.4261648323899384,15.0
164,166,5,Speed,,2.89180093515567,1.0706685791064732,0.3015836771957167,15.0
165,167,5,Accuracy,,3.002125874373485,1.6872769825404292,0.3750720667184166,15.0
166,168,6,Speed,,3.277618612293143,0.9705500256899487,0.328427465576543,15.0
167,169,6,Accuracy,,3.206548124843453,1.2588089132273084,0.4424732179471859,15.0
168,170,1,Speed,,2.9284038596901425,1.119840045740001,0.2524897187963597,16.0
169,171,1,Accuracy,,4.296105170095336,1.2651108759360647,0.3862697252977505,16.0
170,172,2,Speed,,1.4034288893066509,0.7965439265206982,0.2177364702547589,16.0
171,173,2,Accuracy,,3.1947245144240526,1.3904454203979637,0.4090629819410477,16.0
172,174,3,Speed,,1.110590327308791,0.9816120355704232,0.2227867223026149,16.0
173,175,3,Accuracy,,1.4294572650641455,0.9508382150890656,0.3733042921260077,16.0
174,176,4,Speed,,1.0385386480963537,0.6160561786925737,0.2051081326965379,16.0
175,177,4,Accuracy,,3.73975684086806,1.6760582714218848,0.3945893416150803,16.0
176,178,5,Speed,,1.0300283118168088,0.7971488630214003,0.2167768242171968,16.0
177,179,5,Accuracy,,1.929899245740512,0.9410243682700434,0.3747047278914291,16.0
178,180,6,Speed,,1.6639093050660618,1.2409313508205029,0.1898211445029912,16.0
179,181,6,Accuracy,,2.346075507961069,0.9823980040287698,0.3801056628470732,16.0
180,182,1,Speed,,4.933048897273218,0.9800185858042112,0.3243918641792775,17.0
181,183,1,Accuracy,,5.003121368841959,1.7961205569588798,0.3355002877055146,17.0
182,184,2,Speed,,4.369416646975963,1.2076016237922005,0.3022222902528113,17.0
183,185,2,Accuracy,,2.431284344902251,0.9499443402011586,0.3888486483534743,17.0
184,186,3,Speed,,2.004598732382064,0.6736566085911774,0.3231516334468234,17.0
185,187,3,Accuracy,,3.1560902517014813,1.408242699182369,0.4485971648169137,17.0
186,188,4,Speed,,3.649096624081725,1.1621383530995752,0.3011585745973745,17.0
187,189,4,Accuracy,,2.7148461719463004,1.0949879743702515,0.3997448899930593,17.0
188,190,5,Speed,,4.89303457947885,1.3604475276011276,0.3225176052494564,17.0
189,191,5,Accuracy,,3.985777947843086,1.6702935736015632,0.4006272628946852,17.0
190,192,6,Speed,,2.8977812610538245,1.1301796136263396,0.2363569612908074,17.0
191,193,6,Accuracy,,4.13486497525713,2.333111717383238,0.2606483132867325,17.0
